"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"229","CSDE1",",15421.4562678087,0.00412258722827557,0.110970015208324,0.0371504610550539,0.970365037669794,0.986594139345108"
"230","UBE3C",",4174.28455456986,0.0221139488285272,0.0979920557972495,0.22567083268752,0.821457445046222,0.913217321184424"
"231","REV3L",",616.197556007827,-0.317998183996184,0.174343679553843,-1.82397311339282,0.0681561370752697,0.234555499452338"
"232","TENM1",",8.08462478417436,-0.792456541029401,0.546295491030849,-1.45060055233854,0.146891121419532,0.359346321514247"
"233","PAX7",",5.55229734530891,-5.1474012093159,1.48743033381059,-3.46059986293878,0.000538973285317858,0.0172447812122534"
"234","MASP2",",27.870665244784,-0.391873524108757,0.285979694166775,-1.37028443662936,0.170598129377528,0.390926135953845"
"235","IYD",",1374.14324562434,0.260841576846967,0.295262611211047,0.883422305916421,0.377008143335498,0.60612108113112"
"236","FAM76A",",399.918671804827,0.221316746372989,0.141254252204642,1.5667970550887,0.117162135977827,0.316642690361489"
"237","TRAF3IP3",",129.737831888124,-0.908548800546655,0.328318050046406,-2.76728251894233,0.00565257461438902,0.0623188078391828"
"238","POMT2",",605.144728419688,-0.246919846219719,0.140960599393757,-1.75169407112109,0.0798264269200603,0.25538155219026"
"239","VTA1",",1826.35964652542,0.0939113169579317,0.122819773859927,0.764627014091685,0.444493678320525,0.66503112109127"
"240","MLXIPL",",1607.55496292896,0.847913440314503,0.349434459839401,2.42653068819887,0.015243961024693,0.104663242988363"
"241","BAZ1B",",4087.82196880944,0.187821090377181,0.114793111344638,1.63617039539327,0.101803930490211,0.292125000488725"
"242","RANBP9",",1484.1598436611,0.12463089469221,0.0956591075807588,1.30286491108013,0.192620885194525,0.418049641500649"
"243","ETV7",",530.320553000961,-0.0138599811475483,0.2894855101405,-0.0478779789040959,0.961813489548837,0.982790597777193"
"244","SPRTN",",397.73774270671,-0.0711589740881943,0.117658754311622,-0.604791156463614,0.545317770413872,0.742043114189367"
"245","EEF1AKNMT",",1935.38015024277,-0.228713766759378,0.126075038153192,-1.81410824941787,0.0696610617695163,0.237299764468186"
"246","DYRK4",",720.212292740254,-0.343393273565138,0.21112791147867,-1.62647028126279,0.103849650454735,0.295066484933707"
"247","ZNF207",",5691.74233072194,-0.0876119003634251,0.090782185684281,-0.965078112000063,0.334505689110514,0.568153434705751"
"248","UQCRC1",",12355.5016521991,-0.382002077797278,0.209258820206197,-1.82550048509719,0.0679255380507895,0.233927440141867"
"249","STARD3NL",",1202.20545821371,0.213389880007095,0.161515596807141,1.32117197487679,0.186444028548274,0.410704709946637"
"250","CD9",",19989.3007074844,0.0666497640820763,0.160452726738803,0.415385674252665,0.677859592150694,0.829988783578801"
"251","HHATL",",1.00114504716137,-1.10655224225497,0.94552563425764,-1.17030379945623,0.24187873343947,0.474488836421092"
"252","NCAPD2",",4796.85095555546,0.181028084365583,0.138539378491045,1.30669046113329,0.191317859610965,0.416444895741898"
"253","IFFO1",",239.534042380654,-0.956731427690943,0.255057201112405,-3.75104652414541,0.000176098016980451,0.00962882522405225"
"254","GIPR",",89.5051948588603,-0.289483994442118,0.387266450757329,-0.747505997165543,0.454758184106857,0.673886853888419"
"255","PHF7",",142.589158836127,0.000113583290009187,0.189547410859125,0.000599234194201704,0.999521880316755,0.999888317086949"
"256","SEMA3G",",206.279851412963,-0.327836606007493,0.350042588433772,-0.936562055132671,0.34898387807978,0.581839193370356"
"257","NISCH",",2348.70860577923,-0.0907779329035325,0.158866841921556,-0.571408934712481,0.56772247399344,0.757067077558202"
"258","STAB1",",1560.55750168567,-1.19304422640315,0.315495188878057,-3.78149736813984,0.000155887870536441,0.00931861694802303"
"259","FUZ",",239.889887292856,-0.272383055929574,0.336489435036382,-0.809484719483459,0.418236388729434,0.641951387256057"
"260","SLC6A13",",2.89521947048356,-0.98110656640284,0.575389712131486,-1.70511662915975,0.088172674807062,0.269867859096956"
"261","IDS",",2084.54828689155,0.119729332805102,0.185537657141513,0.645310147005805,0.518726218349335,0.72303036347089"
"262","PRSS3",",3942.12266963925,-0.338015645455962,0.25503696656682,-1.32535941752351,0.185051970384378,0.408736393597468"
"263","ZNF200",",466.898152500589,0.269888320147741,0.124342199312995,2.17052876367722,0.0299668120495078,0.150227527089584"
"264","CD4",",1176.07354988705,-0.730006074780451,0.311723815729899,-2.34183606751748,0.0191891413546491,0.117917721929201"
"265","LRRC23",",210.465278094128,-0.388496152575225,0.17291933013054,-2.2466901316466,0.0246598373674412,0.135779926968159"
"266","BTK",",133.330640283272,-0.734532750439498,0.342711873155273,-2.14329531007145,0.0320893931887306,0.156087430112879"
"267","HFE",",444.554610927099,-0.29202268072473,0.166386163986653,-1.75508992892075,0.079243926699039,0.254326636722169"
"268","SCMH1",",1327.66896657177,0.223066612095874,0.128587991553448,1.7347390638974,0.0827870337831174,0.260539866888629"
"269","FYN",",828.951885654691,-0.819937979289694,0.27429082105875,-2.98930156001856,0.0027961601138337,0.0416923618404023"
"270","HIVEP2",",879.645297442944,-0.0109843083612045,0.176267481289016,-0.0623161361408126,0.950311078668511,0.977995248485122"
"271","FMO1",",30.7712842093762,-0.912958824978477,0.40935719555127,-2.23022542390887,0.0257324812315395,0.138784054796261"
"272","ELOA",",1494.52128841167,0.199091768367776,0.12365467972754,1.61006254519808,0.107384202770791,0.30121437324085"
"273","LYPLA2",",3204.50034963691,0.327779260786252,0.144485700851828,2.26859307774957,0.0232930829599714,0.131944059779309"
"274","CLCN6",",457.374173954383,0.123791841979725,0.149271920206205,0.829304277781906,0.406932250881377,0.632047856534762"
"275","AC080038.1",",2126.43398968469,-0.54390086474425,0.334454695192171,-1.62623181125245,0.103900351338821,0.295099440288598"
"276","NME1-NME2",",40.1471282627615,0.560998849396141,0.296876985320487,1.88966769785313,0.0588024168530672,0.216593603101805"
"277","SLC6A7",",124.633770318232,0.0804777957839297,0.398378079947325,0.202013614289648,0.839906080937891,0.92310869975304"
"278","TSPAN9",",1164.10700858041,-0.286838360338612,0.192180738625304,-1.49254479085889,0.135556384297318,0.344708958064987"
"279","BTBD7",",1163.6828760218,-0.356469798966185,0.128641744954745,-2.77102739154843,0.00558797258409071,0.0619517629193643"
"280","APBA3",",675.438133499297,-0.442464803328052,0.201724521659336,-2.19341109196069,0.0282777738823281,0.146025103377137"
"281","MKS1",",566.048550882843,-0.130290765114203,0.12426302126391,-1.04850794539666,0.294404643548465,0.530646900093073"
"282","ABHD5",",438.36348281869,-0.300200151821129,0.13934665154671,-2.15434062095493,0.0312134695002561,0.153814411420509"
"283","ANOS1",",319.090819571709,-0.191077051314799,0.399168988871135,-0.478687114084619,0.632161234278065,0.801323406439355"
"284","AKAP8L",",1245.17358480035,0.239999280577447,0.127864923532983,1.87697512301362,0.0605215035162811,0.220115006524939"
"285","MBTD1",",816.897975966257,0.0194094685239633,0.177475194225993,0.109364402211882,0.912913467269076,0.9597029060177"
"286","UTP18",",1654.61557319251,-0.095114715954579,0.142192739394784,-0.668914013186726,0.503550330632614,0.712140679874941"
"287","RNF216",",1944.56577217189,0.312536338205888,0.11505949835385,2.71630193662694,0.00660156818845365,0.0672949864462641"
"288","TTC19",",2011.08668402063,-0.463131216354332,0.14589514463192,-3.17441144133185,0.00150140698829038,0.0303190698396632"
"289","PTBP1",",14066.6053782713,0.0665696406921972,0.0946855433295878,0.703060238673154,0.482018209831933,0.695839884547774"
"290","DPF1",",25.5798873988276,-0.313826141748283,0.360669860597402,-0.870120229143826,0.384234703755765,0.612441615534671"
"291","SYT7",",2449.70757139647,0.800068607040933,0.304602944975973,2.62659511418723,0.00862438856460818,0.0779820783306705"
"292","LARS2",",1650.07675891902,0.000522365708354261,0.148267171970984,0.00352313800425415,0.997188948396193,0.998917065832616"
"293","PIK3C2A",",1741.97408534396,0.0891013686873368,0.165004345157243,0.539994074716194,0.589201118726974,0.771855611623146"
"294","PLAUR",",2736.5975963531,-0.418238069641869,0.242185417430375,-1.72693333099672,0.0841796375297409,0.263258375490637"
"295","ANLN",",2088.50833536573,0.381593655372658,0.205273406551512,1.85895319702262,0.0630337727187801,0.224675412541766"
"296","WIZ",",2135.98333082176,0.0731292079190566,0.127389811203748,0.574058531275261,0.565928193909074,0.755918003216459"
"297","RABGAP1",",1855.01576144769,-0.0403715328089142,0.135977411654057,-0.29689881810388,0.7665437585262,0.883402325189357"
"298","DCN",",6436.07479234845,-0.862181008301856,0.376043817968646,-2.29276740396712,0.0218613995845444,0.127214845219606"
"299","QPCTL",",651.17581470596,0.0139310802082413,0.158061786400351,0.0881369274984378,0.929767846669798,0.967327192420747"
"300","PPP5C",",2632.71779752249,-0.162485203225329,0.122849982813591,-1.32263106191785,0.185958099264707,0.410140383062236"
"301","CEP68",",971.240379266917,0.038791377438621,0.154738912180029,0.250689221554626,0.80205439459192,0.90365000640202"
"302","MAP4K3",",1238.37326264102,-0.00899863046626048,0.162640851551692,-0.0553282301488716,0.955876972200058,0.9804845445117"
"303","ZBTB32",",20.9469704613122,-0.497983934973635,0.31390768762094,-1.58640248267821,0.112648037607243,0.309575224842658"
"304","TYROBP",",1027.17277751676,-0.885777346010025,0.346951470927546,-2.55302951632392,0.0106790445962908,0.0868490862095225"
"305","TMEM159",",1342.57251164547,-0.0398293071136884,0.162337655196144,-0.245348542613633,0.806186568491687,0.905904346448993"
"306","GABRA3",",21.0649570848132,-4.18522202311626,1.01190903906002,-4.13596663491016,3.53463550329679e-05,0.00391013576468395"
"307","BRCA1",",993.730600321281,0.268440970412884,0.182708643930008,1.46922972355768,0.141770490802839,0.353306253448359"
"308","ERCC1",",1390.94757761182,-0.0552655144232959,0.132209483255648,-0.41801475251538,0.675936331137369,0.828801669996992"
"309","CD22",",95.9061748524505,-0.671272022992656,0.478070418472367,-1.4041279214423,0.160280760503323,0.376950512702036"
"310","SEMA3B",",1830.16811331508,-0.518351755653959,0.315721595071069,-1.6418001294377,0.100631432237591,0.29041886981435"
"311","MBTPS2",",883.031454311051,0.180834991408341,0.156552628315153,1.15510670982991,0.248046730849804,0.481222909836089"
"312","PRICKLE3",",599.697163812873,-0.0608190976608879,0.177849761274643,-0.341968958659262,0.732374252882067,0.863362062056056"
"313","LTF",",194.443823852938,-0.920569318770258,0.442933618781013,-2.07834600883025,0.0376775016904231,0.170348543434544"
"314","EXTL3",",1511.23224350974,-0.291112858569338,0.183081000780622,-1.59007683663564,0.111817486472774,0.308124797255281"
"315","NR1H4",",44.2560599296344,-0.162600931328359,0.678440146190181,-0.239668793542737,0.810587029056685,0.907896943809976"
"316","ELOVL5",",2159.8244430862,-0.0546378416436869,0.250630635185008,-0.218001449038162,0.82742798240969,0.915864854268776"
"317","ALOX5",",899.016112837381,-1.19405325963271,0.361502638398566,-3.30302778680204,0.00095646909686407,0.023364519846901"
"318","KDM5D",",506.447641453532,0.372164630411363,0.894529556670886,0.416045090557348,0.677377008608777,0.829678580140802"
"319","CALCOCO1",",2096.66218651042,-0.151649783956431,0.169356666836152,-0.895446201141569,0.370548612546771,0.600800606440784"
"320","UBR7",",1282.43582430803,-0.273962069158033,0.118260093854267,-2.31660622133142,0.0205251921662034,0.122579841876753"
"321","MAP4K5",",1142.62295777507,-0.153151248289777,0.153172048340245,-0.999864204659444,0.317376229318826,0.55237017604219"
"322","EHD3",",252.310306578756,-0.789518120156109,0.274075352737982,-2.88066078276982,0.003968424883836,0.0502913958720682"
"323","PSMC4",",3780.76546086002,-0.135383632775826,0.137202946144947,-0.986739983212902,0.323770123590562,0.558171582557757"
"324","MAN2B2",",2123.85638331627,-0.440981028250314,0.15155046337734,-2.90979663422296,0.00361664001967937,0.0481009825771395"
"325","SLC7A14",",4.46983447762083,0.0546843365440731,0.765809683040341,0.0714072148147446,0.943073667678173,0.974223444006411"
"326","CLDN11",",51.0934519925549,-1.23251556678785,0.43901545313226,-2.8074537194401,0.00499348544928728,0.0580149721547381"
"327","SLC25A39",",8926.32928839311,0.0183326352055656,0.171494684910078,0.106899145096994,0.914868991419523,0.960422928477097"
"328","MVP",",15123.0223980585,0.0693263733165154,0.172848531137729,0.401081645647741,0.688360013665027,0.836617318453309"
"329","NUB1",",3068.77363823634,0.116749410620317,0.12069403628548,0.967317145183274,0.333385515298258,0.567157154675279"
"330","PGM3",",1608.13700260993,-0.160235151428663,0.140689601787316,-1.13892675359828,0.254733705856202,0.488268521009348"
"331","RWDD2A",",279.89567021297,-0.415542937535147,0.150550270330134,-2.76016068668575,0.00577729376792739,0.0629499663812771"
"332","CLK1",",1740.62899302282,0.296175822242976,0.164523269594363,1.8002062746091,0.0718280734459315,0.241356884287458"
"333","POLR3B",",521.235549015939,-0.200262223132777,0.127015344582209,-1.57667739903001,0.114869773362134,0.313232406943937"
"334","ANGEL1",",1275.98461505489,-0.115853491159803,0.144550957789287,-0.801471625865549,0.422858664017207,0.645963715197778"
"335","RNF14",",1445.5885351006,0.144359631163924,0.131103785070294,1.10110956054032,0.270848976536853,0.504943338573049"
"336","DNASE1L1",",862.008099800382,0.163747255443767,0.157815569464046,1.03758619000562,0.299462750025432,0.535403654539678"
"337","DDX11",",1209.84259567973,0.125205874632791,0.198741127629927,0.629994788325521,0.528697994058128,0.730360624277621"
"338","HEBP1",",1195.14970705738,-0.15493899005991,0.153725903665411,-1.00789122955581,0.313506682521761,0.548580294794014"
"339","GPRC5A",",17679.8881808063,-0.265210056626716,0.248322156767562,-1.06800802666579,0.285516891116888,0.520967644241407"
"340","MAMLD1",",101.399964555363,-1.34082841529147,0.353010722620286,-3.79826540491158,0.000145712252073079,0.00899037923307305"
"341","CD6",",279.402901333607,-0.73463931221983,0.277266023174689,-2.64958289446441,0.00805911990476263,0.0750606826750634"
"342","TACC3",",2458.94724051775,0.0855998938644909,0.170803517258085,0.501160018474028,0.616258509900166,0.791584422189851"
"343","UFL1",",1421.73857466586,0.266956895153362,0.167647978255711,1.59236572925548,0.111302551923603,0.307382970389054"
"344","POLA2",",1114.30904580122,0.10503867594697,0.153552197544849,0.684058435023634,0.493938267103993,0.704700165503007"
"345","ZC3H3",",1360.84100744511,-0.0293942576008974,0.173887103890301,-0.16904219429315,0.865763452695677,0.937506124973461"
"346","CAPN1",",13131.4058970717,-0.118909961316956,0.152705524160073,-0.778688013881601,0.43616351845168,0.657671117632287"
"347","ACPP",",234.882467485381,-0.67659336141779,0.352844852047605,-1.91753785691198,0.0551696363342191,0.209196922736367"
"348","MDH1",",4609.07570040248,-0.151032221217064,0.124589608206975,-1.21223770899224,0.225421400626007,0.455683856617034"
"349","SLC30A9",",2654.98895683498,-0.0317237913800334,0.139773726184492,-0.226965340668962,0.820450693024638,0.912863235814037"
"350","MTMR11",",2864.77726529834,-0.35916440800185,0.273576737761711,-1.31284703129506,0.189234498468,0.41410798706274"
"351","COX15",",1770.72867752139,-0.191139067382464,0.11243330125734,-1.70002183734676,0.0891268180286995,0.271275743201987"
"352","CCDC88C",",1741.53471974534,-0.317831932878735,0.158145172205491,-2.00974793252462,0.0444578740503709,0.186608442525853"
"353","YAF2",",504.945646562158,0.0736852648415974,0.15427172550346,0.477632985572233,0.632911449212668,0.801717142213303"
"354","ZMYND11",",2145.77922346794,0.112162093069521,0.117125389492084,0.957624077545558,0.338252353438063,0.571622382192778"
"355","WAS",",245.704952344096,-0.80186770840289,0.306471043553772,-2.61645504614272,0.00888480627500593,0.0788020203965572"
"356","DPEP1",",10114.2278129049,-0.514149956363322,0.519577189366335,-0.989554520263615,0.322391908934515,0.557211153391526"
"357","BID",",2097.02296076238,-0.46545950018571,0.181903621773642,-2.55882480869413,0.0105026654767774,0.0861817860313048"
"358","MATR3",",103.715144019241,0.252900220478452,0.211361777867536,1.19652769308626,0.231490698335681,0.462367606381105"
